record,row,y_mm,valid,A_mm,B_mm,C_mm,D_mm,diag1_M1_M2_mm,diag2_M3_M4_mm,stick_length_mm,P1_x,P1_z,P2_x,P2_z,P3_x,P3_z,P4_x,P4_z,M1_x,M1_z,M2_x,M2_z,M3_x,M3_z,M4_x,M4_z,obj1_angle_deg,obj2_angle_deg,obj3_angle_deg,obj4_angle_deg,obj1_verticality_error_deg,obj2_verticality_error_deg,obj3_verticality_error_deg,obj4_verticality_error_deg,obj1_chamfer_mm,obj2_chamfer_mm,obj3_chamfer_mm,obj4_chamfer_mm,obj1_projection_x_mm,obj1_projection_z_mm,obj2_projection_x_mm,obj2_projection_z_mm,obj3_projection_x_mm,obj3_projection_z_mm,obj4_projection_x_mm,obj4_projection_z_mm,note
slice,14026,620.158059,True,209.294978,103.976581,210.797389,106.33963,233.837085,232.094478,826.893719,210.075611,104.644864,-0.764236,-1.188091,0.78122,105.140309,210.024979,0.668295,209.369335,103.965199,0.096057,-0.363501,1.388353,104.424212,209.315007,1.301211,89.956106,89.891116,89.966842,89.952093,0.043894,0.108884,0.033158,0.047907,1.800076,1.905926,1.815082,1.800002,1.8,0.016509,1.905,0.05942,1.815,0.017242,1.8,0.002324,
slice,14230,630.137727,True,209.26911,103.992221,210.832613,106.316338,233.857682,232.082602,826.893719,210.069521,104.674026,-0.790306,-1.175895,0.800905,105.128535,210.034122,0.681811,209.368003,103.985213,0.072409,-0.344888,1.394036,104.407733,209.322437,1.314988,89.967221,89.89236,89.999469,89.964896,0.032779,0.10764,0.000531,0.035104,1.800064,1.906071,1.80029,1.800014,1.8,0.015126,1.905,0.063886,1.8,0.032289,1.8,0.006982,
slice,14434,640.117394,True,209.258089,103.998008,210.852055,106.312549,233.884402,232.05683,826.893719,210.076549,104.692189,-0.814106,-1.176103,0.818905,105.123903,210.029654,0.694191,209.368857,104.007444,0.053611,-0.343125,1.41248,104.410368,209.318173,1.329842,89.948122,89.894303,89.980028,89.968353,0.051878,0.105697,0.019972,0.031647,1.800029,1.905877,1.800134,1.815017,1.8,0.010297,1.905,0.057819,1.8,0.021967,1.815,0.007959,
slice,14638,650.097062,True,209.231649,104.010919,210.881232,106.300732,233.913436,232.042198,826.893719,210.069188,104.717779,-0.836499,-1.167968,0.837925,105.119575,210.036399,0.706866,209.365605,104.036193,0.032577,-0.343781,1.421902,104.400783,209.323759,1.34546,89.940407,89.891142,89.982295,89.96788,0.059593,0.108858,0.017705,0.03212,1.785078,1.90597,1.800168,1.815021,1.785,0.016693,1.905,0.060798,1.8,0.024612,1.815,0.008716,
slice,14842,660.076729,True,209.22357,104.022701,210.894863,106.284828,233.935136,232.023983,826.893719,210.078215,104.737799,-0.857124,-1.166461,0.854966,105.104576,210.029346,0.715109,209.374482,104.045198,0.018352,-0.337072,1.430813,104.391719,209.319126,1.350086,89.944552,89.889432,89.990804,89.978018,0.055448,0.110568,0.009196,0.021982,1.815086,1.905933,1.770219,1.815004,1.815,0.017648,1.905,0.05964,1.77,0.027858,1.815,0.003628,
slice,15046,670.056396,True,209.203759,104.035198,210.922071,106.283778,233.962024,232.011385,826.893719,210.072652,104.7648,-0.87961,-1.160126,0.869177,105.109264,210.033995,0.729608,209.37331,104.076057,0.000911,-0.333841,1.44329,104.389725,209.322242,1.357573,89.947483,89.899914,89.964418,89.985977,0.052517,0.100086,0.035582,0.014023,1.800058,1.905813,1.755242,1.800002,1.8,0.014419,1.905,0.055662,1.755,0.029124,1.8,0.002498,
slice,15250,680.036064,True,209.190394,104.05053,210.934332,106.279497,233.986198,231.986876,826.893719,210.076398,104.785438,-0.899061,-1.162573,0.886244,105.101929,210.026736,0.734919,209.369604,104.093663,-0.020499,-0.334904,1.46104,104.393067,209.314708,1.365093,89.947994,89.880476,89.993974,89.977193,0.052006,0.119524,0.006026,0.022807,1.800028,1.906005,1.785097,1.8,1.8,0.010033,1.905,0.061883,1.785,0.018603,1.8,0.000441,
slice,15454,690.015731,True,209.175944,104.067195,210.956727,106.264863,234.007382,231.975165,826.893719,210.075569,104.809654,-0.919321,-1.148444,0.899827,105.100847,210.028931,0.742469,209.371317,104.116766,-0.038016,-0.320708,1.476923,104.398307,209.318366,1.372039,89.967005,89.903628,89.985806,89.994783,0.032995,0.096372,0.014194,0.005217,1.800064,1.89107,1.785084,1.785017,1.8,0.015224,1.89,0.063599,1.785,0.017319,1.785,0.007864,
slice,15658,699.995399,True,209.170534,104.076487,210.968647,106.262506,234.032005,231.95274,826.893719,210.081931,104.821082,-0.934597,-1.146652,0.911583,105.099815,210.025572,0.74461,209.381327,104.126919,-0.049677,-0.322273,1.484445,104.390655,209.309191,1.381197,89.946395,89.883059,89.977699,89.957309,0.053605,0.116941,0.022301,0.042691,1.80004,1.905984,1.785175,1.815011,1.8,0.012009,1.905,0.061231,1.785,0.025027,1.815,0.006288,
slice,15862,709.975066,True,209.156911,104.092095,210.991508,106.233479,234.043919,231.945387,826.893719,210.080734,104.846717,-0.953515,-1.131705,0.92396,105.085183,210.029561,0.754635,209.369378,104.15753,-0.070487,-0.30059,1.491849,104.383124,209.318179,1.39342,89.970149,89.879949,89.997759,89.9556,0.029851,0.120051,0.002241,0.0444,1.800024,1.905996,1.785176,1.815015,1.8,0.009303,1.905,0.061622,1.785,0.025034,1.815,0.007424,
